Country;Year;Medals Won;Medals Last Year;GDP;Populatie;Land in Km2;HostCountry
Grenada;2004;0;0;440000000;89357;344;0
Grenada;2008;0;0;825976037;89971;340;0
Grenada;2012;0;0;800000000;110821;344;0
Grenada;2016;1;0;1016000;106825;344;0
Greece;2004;16;13;212200000000;10647529;131957;1
Greece;2008;3;16;354461000000;10706290;128900;0
Greece;2012;2;3;312000000000;10787690;131957;0
Greece;2016;6;2;194559000;10823732;131957;0
Great Britain;2004;30;28;2417000000000;59790000;242495;0
Great Britain;2008;51;30;2923000000000;61570000;209331;0
Great Britain;2012;65;51;2705000000000;63500000;242495;1
Great Britain;2016;67;65;2705000000000;65380000;242495;0
Ghana;2004;0;0;44490000000;20757032;238533;0
Ghana;2008;0;0;28678701891;22931299;227540;0
Ghana;2012;0;0;38600000000;24658823;238533;0
Ghana;2016;0;0;42690000;28480000;238535;0
Germany;2004;49;56;2271000000000;82424609;357114;0
Germany;2008;41;49;3730030000000;82400996;348770;0
Germany;2012;44;41;3629000000000;81857000;357114;0
Germany;2016;42;44;3466757000;81413145;357114;0
Georgia;2004;4;6;12180000000;4693892;69700;0
Georgia;2008;7;4;12795076469;4646003;69490;0
Georgia;2012;6;7;13800000000;4497600;69700;0
Georgia;2016;7;6;14333000;3679000;69700;0
Gabon;2004;0;0;7301000000;1355246;267668;0
Gabon;2008;0;0;15571349776;1454867;257670;0
Gabon;2012;0;0;16700000000;1564000;267668;0
Gabon;2016;0;0;14214000;1725292;267668;0
France;2004;33;38;1654000000000;60424213;640679;0
France;2008;43;33;2918380000000;63718187;547660;0
France;2012;35;43;2808000000000;65350000;543940;0
France;2012;35;35;2808000000000;65350000;640679;0
France;2016;42;35;2465454000;66808385;640679;0
Finland;2004;2;4;141700000000;5214512;338424;0
Finland;2008;4;2;284554000000;5238460;304090;0
Finland;2012;0;4;270600000000;5425320;338424;0
Finland;2016;1;0;236785000;5482013;338424;0
Fiji;2004;0;0;5007000000;880874;18272;0
Fiji;2008;0;0;3523185920;918675;18270;0
Fiji;2012;0;0;3400000000;876000;18272;0
Fiji;2016;1;0;4632000;892145;18272;0
Federated States of Micronesia;2004;0;0;263145100;;702;0
Federated States of Micronesia;2008;0;0;263145100;103543;702;0
Federated States of Micronesia;2012;0;0;322000000;102843;702;0
Federated States of Micronesia;2016;0;0;322000;110215;702;0
Ethiopia;2004;7;8;48470000000;67851281;1104300;0
Ethiopia;2008;7;7;27066912635;76511887;1000000;0
Ethiopia;2012;8;7;30500000000;84320987;1104300;0
Ethiopia;2016;8;8;72374000;99390750;1104300;0
Estonia;2004;3;3;17370000000;1341664;45227;0
Estonia;2008;2;3;24371299253;1315912;42390;0
Estonia;2012;0;2;22500000000;1294236;45227;0
Estonia;2016;1;0;23137000000;1311998;45227;0
Eritrea;2004;1;0;3300000000;4447307;117600;0
Eritrea;2008;0;1;1380188800;4906585;101000;0
Eritrea;2012;0;0;2600000000;5581000;117600;0
Equatorial Guinea;2004;0;0;12700000000;523051;28051;0
Equatorial Guinea;2008;0;0;19749893536;551201;28050;0
Equatorial Guinea;2012;0;0;19400000000;740000;28051;0
Equatorial Guinea;2016;0;0;10179000000;845060;28051;0
El Salvador;2004;0;0;30990000000;6587541;21041;0
El Salvador;2008;0;0;17986890000;6948073;20720;0
El Salvador;2012;0;0;22600000000;6183000;21041;0
El Salvador;2016;0;0;26797000000;6126583;21041;0
Egypt;2004;5;0;294300000000;76117421;1002450;0
Egypt;2008;2;5;162818000000;80335036;1010000;0
Egypt;2012;4;2;231900000000;82886000;1002450;0
Egypt;2016;3;4;336297000000;91508084;1002450;0
Ecuador;2004;0;0;45460000000;13212742;276841;0
Ecuador;2008;1;0;61762635000;13755680;276840;0
Ecuador;2012;0;1;65300000000;14483499;276841;0
Ecuador;2016;0;0;97802000000;16144363;276841;0
East Timor;2008;0;0;4391000000;1055000;14870;0
Dominican Republic;2004;0;0;5216000000;8833634;48671;0
Dominican Republic;2008;2;0;48122547177;9365818;48442;0
Dominican Republic;2012;2;2;54400000000;9445281;48671;0
Dominican Republic;2016;1;2;71584000000;10528391;48671;0
Dominica;2004;0;0;3800000000;69278;751;0
Dominica;2008;0;0;4581901852;72386;750;0
Dominica;2012;0;0;5000000000;71293;751;0
Dominica;2016;0;0;5250000000;72680;751;0
Djibouti;2004;0;0;619000000;466900;23200;0
Djibouti;2008;0;0;9991053393;496374;23180;0
Djibouti;2012;0;0;1300000000;818159;23200;0
Djibouti;2016;0;0;1589000000;887861;23200;0
Denmark;2004;8;6;167700000000;5413392;43094;0
Denmark;2008;7;8;353361000000;5468120;42430;0
Denmark;2012;9;7;349100000000;5587085;43094;0
Denmark;2016;15;9;306143000000;5676002;43094;0
Democratic Republic of the Congo;2004;0;0;19788515874;;2344858;0
Democratic Republic of the Congo;2008;0;0;19788515874;60410000;2270000;0
Democratic Republic of the Congo;2016;0;0;34999000000;78790000;2345000;0
Czech Republic;2004;9;8;160500000000;10246178;78865;0
Czech Republic;2008;7;9;236816000000;10228744;77250;0
Czech Republic;2012;11;7;220300000000;10507566;78865;0
Czech Republic;2016;10;11;192925000000;10551219;78865;0
Cyprus;2004;0;0;8900000000;775927;9251;0
Cyprus;2008;0;0;27844698989;788457;9240;0
Cyprus;2012;0;0;25700000000;838897;9251;0
Cyprus;2016;0;0;19802000000;1165300;9251;0
Cuba;2004;27;29;31590000000;11308764;109884;0
Cuba;2008;30;27;60806300000;11394043;109820;0
Cuba;2012;15;30;57490000000;11247925;109884;0
Croatia;2004;5;2;47140000000;4496869;56594;0
Croatia;2008;5;5;70234425974;4493312;53910;0
Croatia;2012;6;5;64200000000;4290612;56594;0
Croatia;2016;10;6;50425000000;4224404;56594;0
Costa Rica;2004;0;2;35160000000;3956507;51100;0
Costa Rica;2008;0;0;30612927059;4133884;51060;0
Costa Rica;2012;0;0;40000000000;4301712;51100;0
Costa Rica;2016;0;0;57436000000;4807850;51100;0
Cook Islands;2004;0;0;10500000000;21200;;0
Cook Islands;2008;0;0;35500000000;21750;2367;0
Cook Islands;2012;0;0;18320000000;0;236;0
Comoros;2004;0;0;441000000;651901;1862;0
Comoros;2008;0;0;9156591928;711417;1860;0
Comoros;2012;0;0;600000000;669300;1862;0
Comoros;2016;0;0;617000000;788474;1862;0
Colombia;2004;2;1;262500000000;42310775;1141748;0
Colombia;2008;3;2;242187000000;44379598;1110000;0
Colombia;2012;8;3;321500000000;46803000;1141748;0
Colombia;2016;8;8;282463000;48228704;1141748;0
Chinese Taipei;2004;5;5;417038000;22571224;36193;0
Chinese Taipei;2008;4;5;417038000;23037000;36193;0
Chinese Taipei;2012;2;4;417038000;23315822;36193;0
China;2004;63;58;6449000000000;1298847624;9596961;0
China;2008;100;63;4594310000000;1321851888;9330000;1
China;2012;91;100;6989000000000;1347350000;9596961;0
China;2016;70;91;11199145000;1371220000;9596961;0
Chile;2004;3;1;154600000000;15823957;756102;0
Chile;2008;1;3;179638000000;16284741;743800;0
Chile;2012;0;1;243000000000;16572475;756102;0
Chile;2016;0;0;247028000;17948141;756102;0
Chad;2004;0;0;10860000000;9538544;1284000;0
Chad;2008;0;0;10393834721;9885661;1260000;0
Chad;2012;0;0;9600000000;11274106;1284000;0
Chad;2016;0;0;9601000;14560000;1284000;0
Central African Republic;2004;0;0;4584000000;3742482;622984;0
Central African Republic;2008;0;0;1985240986;4369038;622984;0
Central African Republic;2012;0;0;2300000000;4576000;622984;0
Central African Republic;2016;0;0;1756000;4900274;622984;0
Cayman Islands;2004;0;0;1270000000;43103;;0
Cayman Islands;2008;0;0;4586114070;46600;260;0
Cayman Islands;2012;0;0;2250000000;0;264;0
Cape Verde;2004;0;0;600000000;415294;4033;0
Cape Verde;2008;0;0;1789000000;423613;4030;0
Cape Verde;2012;0;0;1900000000;491875;4033;0
Cape Verde;2016;0;0;1617000;531146;4033;0
Canada;2004;12;14;957700000000;32507874;;0
Canada;2008;20;12;1549130000000;33390141;9090000;0
Canada;2012;18;20;1759000000000;34990400;75417;0
Canada;2012;18;18;1759000000000;34990400;9984670;0
Canada;2016;22;18;1529760000;35851774;9984670;0
Cameroon;2004;1;1;27590000000;16063678;475442;0
Cameroon;2008;1;1;26409781215;18060382;472710;0
Cameroon;2012;0;1;25800000000;19406100;475442;0
Cameroon;2016;0;0;24204000;23344179;475442;0
Cambodia;2004;0;0;22760000000;13363421;181035;0
Cambodia;2008;0;0;10351914093;13995904;176520;0
Cambodia;2012;0;0;13200000000;14478000;181035;0
Cambodia;2016;0;0;20017000;15577899;181035;0
Burundi;2004;0;0;3830000000;6231221;27834;0
Burundi;2008;0;0;1611835902;8390505;25680;0
Burundi;2012;0;0;1700000000;8749000;27834;0
Burundi;2012;0;0;1700000000;8749000;5765;0
Burundi;2016;1;0;3007000;11178921;27834;0
Burkina Faso;2004;0;0;14330000000;13574820;274222;0
Burkina Faso;2008;0;0;9451436359;14326203;273600;0
Burkina Faso;2012;0;0;10100000000;15730977;274222;0
Burkina Faso;2016;0;0;12115000;18105570;274222;0
Bulgaria;2004;12;13;57130000000;7517973;111002;0
Bulgaria;2008;5;12;54438966420;7322858;108610;0
Bulgaria;2012;3;5;54300000000;7364570;111002;0
Bulgaria;2016;3;3;52395000;7177991;111002;0
Brunei;2004;0;0;6500000000;365251;5765;0
Brunei;2012;0;0;15600000000;393162;27834;0
Brunei;2012;0;0;15600000000;393162;5765;0
Brunei;2016;0;0;11400000;423188;5765;0
British Virgin Islands;2004;0;0;320000000;22187;;0
British Virgin Islands;2008;0;0;1027000000000;23552;153;0
British Virgin Islands;2012;0;0;1095000000;0;151;0
Brazil;2004;10;12;1379000000000;184101109;8515767;0
Brazil;2008;17;10;1695820000000;190010647;8460000;0
Brazil;2012;17;17;2518000000000;193946886;8515767;0
Brazil;2016;19;17;1796187000;207847528;8515767;1
Botswana;2004;0;0;13900000000;1561973;581730;0
Botswana;2008;0;0;10945070442;1815508;566730;0
Botswana;2012;1;0;16400000000;2024904;581730;0
Botswana;2016;0;1;15275000;2262485;581730;0
Bosnia and Herzegovina;2004;0;0;24390000000;4007608;51209;0
Bosnia and Herzegovina;2008;0;0;19112739664;4552198;51200;0
Bosnia and Herzegovina;2012;0;0;18300000000;3868621;51209;0
Bosnia and Herzegovina;2016;0;0;16560000000;3810416;51209;0
Bolivia;2004;0;0;20880000000;8724156;1098581;0
Bolivia;2008;0;0;16674324634;9119152;1080000;0
Bolivia;2012;0;0;23900000000;10426155;1098581;0
Bolivia;2016;0;0;33806000000;10724705;1098581;0
Bhutan;2004;0;0;2700000000;2185569;38394;0
Bhutan;2008;0;0;1227808791;2327849;38394;0
Bhutan;2012;0;0;1830000000;720679;38394;0
Bhutan;2016;0;0;2237000000;774830;38394;0
Bermuda;2004;0;0;2330000000;64935;;0
Bermuda;2008;0;0;6980000000;66163;50;0
Bermuda;2012;0;0;6980000000;0;54;0
Bermuda;2016;0;0;5574000000;64555;54;0
Benin;2004;0;0;7742000000;7250033;114763;0
Benin;2008;0;0;9748276762;8078314;110620;0
Benin;2012;0;0;7500000000;9352000;114763;0
Benin;2016;0;0;8583000000;10879829;114763;0
Belize;2004;0;0;1280000000;272945;22966;0
Belize;2008;0;0;1351350000;294385;22810;0
Belize;2012;0;0;1500000000;312971;22966;0
Belize;2016;0;0;1765000000;359287;22966;0
Belgium;2004;3;5;298200000000;10348276;30528;0
Belgium;2008;2;3;515224000000;10392226;30280;0
Belgium;2012;3;2;529000000000;10839905;30528;0
Belgium;2016;6;3;466366000000;11285721;30528;0
Belarus;2004;13;17;61910000000;10310520;207600;0
Belarus;2008;14;13;60763483146;9724723;202900;0
Belarus;2012;10;14;57700000000;9460000;207600;0
Belarus;2016;9;10;47433000000;9513000;207600;0
Barbados;2004;0;1;4496000000;278289;430;0
Barbados;2008;0;0;4785000000;280946;430;0
Barbados;2012;0;0;4400000000;274200;430;0
Barbados;2016;0;0;458800000;284215;430;0
Bangladesh;2004;0;0;258800000000;141340476;148460;0
Bangladesh;2008;0;0;916313000000;150448339;130170;0
Bangladesh;2012;0;0;115000000000;152518015;148460;0
Bangladesh;2016;0;0;221415000;160995642;148460;0
Bahrain;2004;0;0;11380000000;677886;778;0
Bahrain;2008;0;0;25710904255;708573;710;0
Bahrain;2012;0;0;26400000000;1234571;778;0
Bahrain;2016;2;0;31859000000;1377237;778;0
Bahamas;2004;2;3;10526000000;;;0
Bahamas;2008;2;2;10526000000;343681;10010;0
Bahamas;2012;0;2;10526000000;353658;0;0
Azerbaijan;2004;5;3;26340000000;7868385;86600;0
Azerbaijan;2008;6;5;48852482960;8120247;82629;0
Azerbaijan;2012;9;6;68500000000;9235100;86600;0
Azerbaijan;2016;18;9;37848000;9651349;86600;0
Austria;2004;7;3;245500000000;8174762;83871;0
Austria;2008;3;7;430294000000;8199783;82450;0
Austria;2012;0;3;425100000000;8452835;7692024;0
Austria;2012;0;0;425100000000;8452835;83871;0
Austria;2016;1;0;386428000000;8611088;7692024;0
Australia;2004;50;58;570300000000;19913144;7692024;0
Australia;2008;46;50;1054000000000;20434176;7680000;0
Australia;2012;35;46;1507000000000;22823882;7692024;0
Australia;2012;35;35;1507000000000;22823882;83871;0
Australia;2016;29;35;1204620000000;23781169;7692024;0
Aruba;2004;0;0;1940000000;71218;;0
Aruba;2008;0;0;2745251397;100018;180;0
Aruba;2012;0;0;2258000000;0;180;0
Armenia;2004;0;1;117900000;2991360;29743;0
Armenia;2008;5;0;116600000;2971650;28200;0
Armenia;2012;2;5;102000000;3275700;29743;0
Armenia;2016;4;2;105470000;3017712;29743;0
Argentina;2004;6;4;432700000000;39144753;2780400;0
Argentina;2008;6;6;361558000000;40301927;2740000;0
Argentina;2012;4;6;435200000000;40117096;2780400;0
Argentina;2012;4;4;435200000000;40117096;29743;0
Argentina;2016;4;4;545866000;43416755;2780400;0
Antigua and Barbuda;2004;0;0;750000000;68320;442;0
Antigua and Barbuda;2008;0;0;137007037;69481;440;0
Antigua and Barbuda;2012;0;0;130000000;86295;442;0
Antigua and Barbuda;2016;0;0;144900000;91818;442;0
Angola;2004;0;0;20590000000;10978552;1246700;0
Angola;2008;0;0;88538611205;12263596;1250000;0
Angola;2012;0;0;99300000000;20609294;1246700;0
Angola;2016;0;0;89633000000;25021974;1246700;0
Andorra;2004;0;0;1300000000;69865;468;0
Andorra;2008;0;0;4085630584;71822;468;0
Andorra;2012;0;0;4085630584;78115;468;0
Andorra;2016;0;0;3249000000;70473;468;0
American Samoa;2004;0;0;500000000;57902;;0
American Samoa;2008;0;0;563000000;57663;200;0
American Samoa;2012;0;0;462200000;0;199;0
Algeria;2004;0;5;194300000000;32129324;2381741;0
Algeria;2008;2;0;171008000000;33333216;2380000;0
Algeria;2012;1;2;183400000000;37100000;2381741;0
Algeria;2012;1;1;183400000000;37100000;923768;0
Algeria;2016;2;1;156080000000;39666519;2381741;0
Albania;2004;0;0;16130000000;3544808;28748;0
Albania;2008;0;0;12881354104;3600523;27400;0
Albania;2012;0;0;13300000000;2831741;28748;0
Albania;2016;0;0;11927000000;2889167;28748;0
Afghanistan;2004;0;0;20000000000;28513677;652230;0
Afghanistan;2008;1;0;10109225814;31889923;652230;0
Afghanistan;2012;1;1;17900000000;25500100;652230;0
Afghanistan;2016;0;1;19469000000;32526562;652230;0
