Country;Year;Medals Won;Medals Last Year;GDP;Populatie;Land in Km2;HostCountry
Sudan;2012;0;1;63300000000;30894000;1861484;0
Sudan;2016;0;0;95584000000;40234882;1861484;0
Sri Lanka;2004;0;1;73490000000;19905165;65610;0
Sri Lanka;2008;0;0;40713812310;20926315;64630;0
Sri Lanka;2012;0;0;58800000000;20277597;65610;0
Sri Lanka;2016;0;0;81322000000;20966000;65610;0
Spain;2004;20;11;885500000000;40280780;505992;0
Spain;2008;19;20;1625220000000;40448191;498980;0
Spain;2012;18;19;1537000000000;46163116;505992;0
Spain;2016;17;18;1232088000;46418269;505992;0
South Sudan;2004;0;0;13282000000;;644329;0
South Sudan;2012;0;0;13282000000;8260490;644329;0
South Sudan;2016;0;0;13282000000;10830000;644329;0
South Korea;2004;30;28;1002000000000;;100210;0
South Korea;2008;32;30;1002000000000;49050000;100032;0
South Korea;2012;30;32;1223000000000;50004441;100210;0
South Korea;2016;21;30;1411250000000;51250000;100210;0
South Africa;2004;6;;456700000000;42718530;1221037;0
South Africa;2008;1;6;286770000000;43997828;1210000;0
South Africa;2012;6;1;422000000000;51770560;1221037;0
South Africa;2016;10;6;294841000000;54956920;1221037;0
Somalia;2004;0;0;4361000000;8304601;637657;0
Somalia;2008;0;0;1768000000;9118773;627340;0
Somalia;2012;0;0;2372000000;9797000;238397;0
Somalia;2012;0;0;2372000000;9797000;637657;0
Somalia;2016;0;0;6217000000;10787104;637657;0
Solomon Islands;2004;0;0;800000000;523617;28896;0
Solomon Islands;2008;0;0;699157191;566842;27990;0
Solomon Islands;2012;0;0;800000000;553935;28896;0
Solomon Islands;2016;0;0;1202000000;583591;28896;0
Slovenia;2004;4;2;36890000000;2011473;20273;0
Slovenia;2008;5;4;55552509155;2009245;20140;0
Slovenia;2012;0;5;52400000000;2061770;20273;0
Slovenia;2016;4;0;43991000000;2063768;20273;0
Slovakia;2004;0;5;72290000000;5423567;49037;0
Slovakia;2008;6;0;100470000000;5447502;48100;0
Slovakia;2012;4;6;97200000000;5445324;49037;0
Slovakia;2016;4;4;89552000000;5424050;49037;0
Singapore;2004;0;0;109100000000;4353893;728;0
Singapore;2008;1;;193612000000;4553009;697;0
Singapore;2012;0;1;266500000000;5312400;728;0
Singapore;2016;1;0;296966000000;5535002;728;0
Sierra Leone;2004;0;0;3057000000;5883889;71740;0
Sierra Leone;2008;0;0;2505458705;6144562;71620;0
Sierra Leone;2012;0;0;2100000000;6126000;71740;0
Sierra Leone;2016;0;0;3669000000;6453184;71740;0
Seychelles;2004;0;0;626000000;80832;452;0
Seychelles;2008;0;0;967199594;81895;460;0
Seychelles;2012;0;0;1000000000;90945;452;0
Seychelles;2016;0;0;1427000000;92900;452;0
Serbia;2004;0;0;52194221469;;88361;0
Serbia;2008;3;0;52194221469;10150265;88360;0
Serbia;2012;0;3;43900000000;7120666;185180;0
Serbia;2012;0;0;43900000000;7120666;88361;0
Serbia;2016;8;0;37745000000;7098247;88361;0
Senegal;2004;0;0;16930000000;10852147;196722;0
Senegal;2008;0;0;16949789465;12521851;192530;0
Senegal;2012;0;0;14700000000;12855153;196722;0
Senegal;2016;0;0;14765000000;15129273;196722;0
Saudi Arabia;2004;0;2;286200000000;25795938;2149690;0
Saudi Arabia;2008;0;0;519797000000;27601038;2000000;0
Saudi Arabia;2012;0;0;560300000000;28376355;2149690;0
Saudi Arabia;2016;0;0;646438000000;31540372;2149690;0
Sao Tome & Principe;2004;0;0;1880211906;;;0
Sao Tome & Principe;2008;0;0;1880211906;171120;960;0
Sao Tome & Principe;2012;0;0;1880211906;0;964;0
San Marino;2004;0;0;940000000;28503;61;0
San Marino;2008;0;0;2393437820;29615;60;0
San Marino;2012;0;0;16110000000;32404;61;0
Samoa;2004;0;0;1000000000;177714;2842;0
Samoa;2008;1;0;6192607216;214265;2830;0
Samoa;2012;0;1;600000000;186340;2842;0
Samoa;2016;0;0;786000000;193228;2842;0
Saint Vincent and the Grenadines;2008;0;0;6954288519;118149;390;0
Saint Lucia;2004;0;0;866000000;164213;616;0
Saint Lucia;2008;0;0;1437731111;170649;610;0
Saint Lucia;2012;0;0;1300000000;166526;616;0
Saint Lucia;2016;0;0;1379000;184999;616;0
Saint Kitts and Nevis;2004;0;0;339000000;38836;261;0
Saint Kitts and Nevis;2008;0;0;7512333333;39349;260;0
Saint Kitts and Nevis;2012;0;0;700000000;51970;261;0
Saint Kitts and Nevis;2016;0;0;917000;55572;261;0
Rwanda;2004;0;0;10110000000;7954013;26338;0
Rwanda;2008;0;0;5179108956;9907509;24670;0
Rwanda;2012;0;0;6000000000;10718379;241550;0
Rwanda;2012;0;0;6000000000;10718379;26338;0
Rwanda;2016;0;0;8376000;11609666;26338;0
Russia;2004;90;89;1287000000000;143782338;17098246;0
Russia;2008;60;90;1660850000000;141377752;16380000;0
Russia;2012;68;60;1885000000000;143300000;17098246;0
Russia;2016;56;68;1283162000;144096812;17098246;0
Romania;2004;19;26;154400000000;22355551;238397;0
Romania;2008;9;19;214314000000;22276056;229890;0
Romania;2012;7;9;185300000000;19042936;238397;0
Romania;2012;7;7;185300000000;19042936;637657;0
Romania;2016;4;;186691000;19832389;238397;0
Republic of the Congo;2008;0;0;11649858744;60410000;341500;0
Refugee Olympic Athletes;2012;0;0;0;0;0;0
Qatar;2004;0;1;17540000000;840290;11586;0
Qatar;2008;0;0;115270000000;907229;11590;0
Qatar;2012;0;0;173200000000;1757540;11586;0
Qatar;2016;1;0;152469000;2235355;11586;0
Puerto Rico;2004;0;0;65280000000;3897960;;0
Puerto Rico;2008;0;0;93639300000;3944259;8870;0
Puerto Rico;2012;0;0;93520000000;0;9104;0
Puerto Rico;2016;1;0;103135000;3407000;9104;0
Portugal;2004;3;2;182300000000;10524145;92226;0
Portugal;2008;2;3;262345000000;10642836;91500;0
Portugal;2012;0;2;241900000000;10561614;92226;0
Portugal;2016;1;0;204565000000;10348648;92226;0
Poland;2004;10;14;426700000000;38626349;312696;0
Poland;2008;11;10;533609000000;38518241;304250;0
Poland;2012;11;11;531800000000;38538447;312696;0
Poland;2016;11;11;469509000000;37999494;312696;0
Philippines;2004;0;0;390700000000;86241697;300000;0
Philippines;2008;0;0;181007000000;91077287;298170;0
Philippines;2012;0;0;216100000000;92337852;300000;0
Philippines;2016;1;0;304905000000;100699395;300000;0
Peru;2004;0;0;146900000000;27544305;1285216;0
Peru;2008;0;0;120551000000;28674757;1280000;0
Peru;2012;0;0;168500000000;30135875;1285216;0
Peru;2016;0;0;192094000000;31376670;1285216;0
Paraguay;2004;0;0;28030000000;6191368;406752;0
Paraguay;2008;0;0;24578067861;6669086;397300;0
Paraguay;2012;0;0;22300000000;6337127;406752;0
Paraguay;2016;0;0;27441000000;6639123;406752;0
Papua New Guinea;2004;0;0;11400000000;5420280;462840;0
Papua New Guinea;2008;0;0;11670840924;5795887;452860;0
Papua New Guinea;2012;0;0;11400000000;7170000;462840;0
Papua New Guinea;2016;0;0;16929000000;7619321;462840;0
Panama;2004;0;0;18620000000;3000463;75417;0
Panama;2008;1;0;25155888600;3242173;74340;0
Panama;2012;0;1;30200000000;3405813;75417;0
Panama;2012;0;0;30200000000;3405813;9984670;0
Panama;2016;0;0;55188000000;3929141;75417;0
Palestine;2004;0;0;3294000000;;;0
Palestine;2008;0;0;3294000000;3592000;6220;0
Palestine;2012;0;0;3294000000;0;0;0
Palau;2004;0;0;174000000;20016;459;0
Palau;2008;0;0;198283900;20842;460;0
Palau;2012;0;0;164000000;21000;459;0
Palau;2016;0;0;293000;21291;459;0
Pakistan;2004;0;0;317700000000;159196336;907843;0
Pakistan;2008;0;0;170078000000;164741924;770880;0
Pakistan;2012;0;0;204100000000;181337000;907843;0
