Country;GDP;Land in Km2;Populatie;HostCountry
Brazil;1360000000000;8358140;212559417;0
South Korea;1590000000000;97230;51269185;0
Canada;1600000000000;9093510;37742154;0
Italy;1850000000000;294140;60461826;0
France;2550000000000;547557;65273511;0
India;2590000000000;2973190;1380004385;0
United Kingdom;2640000000000;241930;67886011;0
Germany;3780000000000;348560;83783942;0
China;14900000000000;9388211;1439323776;0
United States;20800000000000;9147420;331002651;0
Albania;14034000000;2877797;27400;0
American Samoa;829000000;200;55191;0
Andorra;3154000000;470;77265;0
Bahamas;11560000000;10010;393244;0
Bermuda;7361000000;50;62278;0
British Virgin Islands;1296000000;150;30231;0
Cayman Islands;6020000000;240;65722;0
Chinese Taipei;636000000;23816775;35410;0
Cook Islands;93500000;240;17564;0
Cuba;91200000000;106440;11326616;0
Democratic Republic of the Congo;34000000000;5518087;341500;0
Hong Kong;275000000000;1050;7496981;0
Ivory Coast;48000000000;322463;26378274;0
Japan;4750000000000;364555;126476461;1
Liechtenstein;6210000000;160;38128;0
North Korea;18000000000;120410;25778816;0
Pakistan;270000000000;770880;220892340;0
Puerto Rico;101000000000;8870;2860853;0
Syria;37000000000;183630;17500658;0
