"danceability","instrumentalness","liveness","valence","track.duration_ms","track.name","track.popularity","track.album.release_date","track.uri"
0.273,0.0111,0.142,0.472,405640,"Paradise City",80,"1987-07-21","spotify:track:3YBZIN3rekqsKxbJc9FZko"
0.544,0,0.13,0.647,215133,"Danger Zone - From ""Top Gun"" Original Soundtrack",74,"1997-03-25","spotify:track:34x6hEJgGAOQvmlMql5Ige"
0.852,2.62e-06,0.186,0.569,216546,"Sunshine",2,"2007-07-24","spotify:track:5OmcnFH77xm4IETrbEvhlq"
0.427,0.184,0.869,0.713,425466,"Brooklyn",0,"2005-02-05","spotify:track:20D61egfxKE9pp3Ffx99Xz"
0.744,1.18e-05,0.163,0.687,178400,"Love Train",70,"1972","spotify:track:28285KFbyCq8sJofn58qlD"
0.448,0.896,0.266,0.208,254360,"Duel of the Fates",0,"1999-05-04","spotify:track:6BmyeQXKNuiqTMnyd2mI8g"
0.76,0.0868,0.298,0.966,244999,"DARE",76,"2005-05-23","spotify:track:4Hff1IjRbLGeLgFgxvHflk"
0.5,0.641,0.109,0.323,226101,"Super Smash Bros. Brawl - Bramble Blast",36,"2014-03-14","spotify:track:1DAny3gcQcQuzQiaLbHwAJ"
0,0,0,0,4853,"Interlude: Elevator Going Up",0,"2017-04-28","spotify:track:5vN4teJoROMQoadL4IzejG"
0.217,0.00011,0.222,0.236,311106,"Welcome to the Black Parade",79,"2006-10-23","spotify:track:5wQnmLuC1W7ATsArWACrgW"
0.472,0.308,0.0837,0.171,382296,"Comfortably Numb - 2011 Remastered Version",0,"1979-11-30","spotify:track:29zkoUsOE50f0I3n44LjjU"
0.338,0.0032,0.116,0.197,482830,"Stairway to Heaven - Remaster",81,"1971-11-08","spotify:track:5CQ30WqJwcep0pYcV4AMNc"
0.4,0.753,0.0695,0.0924,383626,"Contact",57,"2013-05-17","spotify:track:2KHRENHQzTIQ001nlP9Gdc"
0.138,0.773,0.0714,0.133,203066,"The Ecstasy of Gold - L'Estasi Dell'oro",36,"1966","spotify:track:68oxELAW6URbwJCKmBiNDa"
0.618,4.1e-06,0.0477,0.662,191500,"Roxanne - Remastered 2003",7,"1978-11-02","spotify:track:3FmAUR4SPWa3P1KyDf21Fu"
0.45,0.266,0.222,0.414,370533,"One More Time / Aerodynamic",51,"2007-11-16","spotify:track:1H1d4dr7Hk5Rrd8Tb5y5yr"
0.949,0,0.0454,0.76,284200,"The Real Slim Shady",82,"2000-05-23","spotify:track:3yfqSUWxFvZELEM4PmlwIR"
0.392,0,0.243,0.228,354320,"Bohemian Rhapsody - Remastered 2011",76,"1975-11-21","spotify:track:7tFiyTwD0nx5a1eklYtX2J"
0.656,0,0.0543,0.909,168733,"Rock And Roll All Nite",0,"1975-03-19","spotify:track:7990Xs9HQx7FXVIDVPEwj9"
0.731,0,0.268,0.605,225360,"Everybody (Backstreet's Back) - Radio Edit",0,"1997-10-09","spotify:track:6hDH3YWFdcUNQjubYztIsG"
0.632,0,0.364,0.938,168586,"Baggy Trousers",0,"1982-04-23","spotify:track:6uCkvrBH53QrYOwynsrAbC"
0.805,3.92e-05,0.0893,0.849,168696,"Ain't No Mountain High Enough",42,"2016-06-17","spotify:track:6Rvj9TmRsHXU8W2fVz871t"
0.853,0.468,0.306,0.595,257760,"Smooth Criminal - 2012 Remaster",79,"1987-08-31","spotify:track:2bCQHF9gdG5BNDVuEIEnNk"
0.866,1.97e-05,0.342,0.752,247173,"Boombastic",58,"2002-01-01","spotify:track:1jqLJBQwo7yBCqYQWukLkq"
0.452,0.000116,0.441,0.793,322093,"Carry on Wayward Son",65,"2010","spotify:track:2SUpC3UgKwLVOS2FtZif9N"
0.228,0.943,0.14,0.37,76453,"Rango Returns",0,"2011-02-25","spotify:track:2mqd4nbndBKVP6S12wN7AH"
0.507,3.31e-05,0.19,0.394,139560,"We Got the Power (feat. Jehnny Beth)",55,"2017-04-28","spotify:track:7hQ0ojbeqicGhw0wdUVeaN"
0.445,0,0.146,0.421,266600,"Little Talks",61,"2012-01-01","spotify:track:3a2tuvXCHbW5nuUckuHkKT"
0.642,0.000733,0.0391,0.864,244826,"Superstition - Single Version",1,"2007-01-01","spotify:track:300RfAPZ57B0y6YYj9n6DN"
0.788,0,0.0373,0.672,163893,"You're Welcome",75,"2016-11-18","spotify:track:6U4VqEHy4n5VeiH4pQPL24"
0.647,0,0.0507,0.344,221653,"True Survivor - From ""Kung Fury""",39,"2015-05-29","spotify:track:7qmc9aGD1WuX9tnGJX5dC4"
0.549,1.8e-06,0.438,0.873,185306,"I'm A Believer",0,"2001-01-01","spotify:track:4lAYMPLPFOovwTCmtTt9b5"
0.184,0.426,0.316,0.125,136440,"Misirlou (Pulp Fiction)",22,"2010-11-01","spotify:track:1vRH7jYfp7Tb7ae7WNEAJM"
0.774,4.91e-05,0.0752,0.932,198906,"Stacy's Mom",0,"2004","spotify:track:7pdXZ3zwuPpawzP79w9xRZ"
0.632,4.77e-05,0.0949,0.679,159337,"Symphony (feat. Zara Larsson) - R3hab Remix",47,"2017-05-12","spotify:track:5YncMl3WSmzvwkiIU2K8cl"
0.354,0.0126,0.789,0.348,310013,"Brighton Rock - Remastered 2011",54,"1974-11-08","spotify:track:0w7lKfhxW190u1ckXi45E9"
0.598,0.000357,0.353,0.91,287173,"Sweet Home Alabama",0,"1993-04-19","spotify:track:7HR024DKw3SnKzCDJp3Bnf"
0.433,8.69e-06,0.331,0.374,195840,"Natural Blues - Radio Edit",0,"2017-05-12","spotify:track:3F5Y4d82WZVxXkmRzv81S9"
0.546,0,0.442,0.713,179040,"You're The Best",0,"2010-01-01","spotify:track:4cMmLBFaJrpPgQDC0djVAZ"
0.421,0.904,0.0785,0.168,305621,"Raiders March",0,"2008-01-01","spotify:track:0SEqU2mHvvjRp9czHLt1G4"
0.574,0.00158,0.156,0.423,208400,"Highway to Hell",85,"1979-07-27","spotify:track:2zYzyRzz6pRmhPzyfMEC8s"
0.871,0,0.0608,0.857,345733,"Fuck Tha Police",0,"1988-08-08","spotify:track:771lQyKAtqXRpZ7iM4JsbP"
0.536,0.773,0.195,0.101,104120,"Derezzed",49,"2010-01-01","spotify:track:5aZCwTIsfqv22p5bewcrgf"
0.546,4.34e-06,0.251,0.375,210853,"Memories (feat. Kid Cudi)",80,"2010-11-22","spotify:track:5xYC48nOppVemY6U5GRGTb"
0.627,0.000735,0.303,0.293,223111,"Destination Calabria (Original Radio Edit)",0,"2006","spotify:track:6sH0zEauzk2ih4kGWQliQL"
0.765,0.101,0.147,0.512,157053,"Egyptian Reggae - Live",24,"2004-07-19","spotify:track:3FtqoENKDN0nq5bWNxHPYR"
0.266,0.916,0.242,0.432,192261,"Hocus Pocus - Original Single Version",52,"1971","spotify:track:1IuUe3A7EfJmvZH3EljtwR"
0.754,0.259,0.12,0.674,106880,"""Was He Slow?"" - Music From The Motion Picture Baby Driver",43,"2017-06-09","spotify:track:1Ffxfl1vuEDc0xBVPIQ50s"
0.521,0,0.257,0.569,172480,"Beyond the Sea",61,"2004-11-23","spotify:track:2EIaO5knwUA3F2qnf9LV3S"
0.249,9.48e-05,0.0924,0.338,547106,"Free Bird",72,"1973-01-01","spotify:track:5EWPGh7jbTNO2wakv8LjUI"
0.427,1.75e-05,0.119,0.599,334666,"Snow (Hey Oh)",81,"2006-05-09","spotify:track:2aibwv5hGXSgw7Yru8IYTO"
0.315,0,0.292,0.553,239066,"Circle of Life - From ""The Lion King""/ Soundtrack",44,"2001-01-01","spotify:track:2mFG5xZ9Uz9v4ks0QnwK5i"
0.84,0.000259,0.063,0.841,245800,"Give It Up",55,"1990-09-10","spotify:track:7sm3orGGwNFqmWFSPRl8eT"
0.733,0.115,0.0956,0.965,239600,"Pumped Up Kicks",86,"2011-05-23","spotify:track:7w87IxuO7BDcJ3YUqCyMTT"
0.706,0.00286,0.306,0.684,248133,"Good Feeling",61,"2011-08-29","spotify:track:3NcO4jGK1Opb5ea0mYLpxb"
0.779,0,0.14,0.708,204346,"Believer",1,"2017-06-23","spotify:track:0CcQNd8CINkwQfe1RDtGV6"
0.535,0.0679,0.147,0.4,218813,"Tal Tal Heights and the Legend of Zelda Main Theme",34,"2013-11-20","spotify:track:7lP1OSfobXms9jW1maHNgE"
0.638,5.94e-06,0.121,0.421,202097,"Story",41,"2017-05-29","spotify:track:6dahFWC77PSIkw8Qvrlo32"
0.486,2.23e-06,0.54,0.549,254293,"Starman - 2012 Remaster",76,"1972-06-06","spotify:track:0pQskrTITgmCMyr85tb9qq"
0.618,0.00176,0.129,0.767,178654,"Magic - Re-Recorded",0,"2008-01-15","spotify:track:1GjxhEpkVbhc8KPayqNevl"
0.628,0.00143,0.0907,0.732,211666,"Cheap Thrills",79,"2016-01-29","spotify:track:27SdWb2rFzO6GWiYDBTD9j"
0.929,0,0.129,0.816,202892,"Krantenwijk",0,"2017-06-23","spotify:track:05bXOQTUxou0BaZ6XteJo0"
0.776,0,0.979,0.895,256853,"Life Is Life",55,"2015-01-06","spotify:track:12etwAqhjJJrZdGrsQ9Wff"
0.656,0.000325,0.315,0.229,203706,"Games Continued (feat. Marie Plassard) - Radio Edit",61,"2016-02-05","spotify:track:64dkTKKNLwbjBuU4xnS2ei"
0.498,0.478,0.312,0.222,342840,"Gospel",37,"2009-10-09","spotify:track:3uJMpB4esL49RpeSbB9a4E"
0.737,0.308,0.046,0.912,190706,"You Make My Dreams (Come True)",64,"2005-04-25","spotify:track:2dlEdDEmuQsrcXaAL3Znzi"
0.523,0,0.0751,0.187,271426,"Clarity",0,"2012-01-01","spotify:track:0VGrgE7GbWaINRnh1bR4k9"
0.775,1.79e-06,0.0662,0.712,246026,"Love Never Felt So Good",71,"2014-05-09","spotify:track:48td6xvpokdYwvbl3JIiXP"
0.704,0,0.156,0.763,211173,"I Wan'na Be Like You",0,"2013-01-01","spotify:track:3VShxisOLs2SguUWJcnoZ4"
0.66,0.00585,0.283,0.972,170293,"Burning Love",70,"1973-07-16","spotify:track:7zMUCLm1TN9o9JlLISztxO"
0.407,0,0.281,0.559,204146,"Theme From New York, New York",0,"2015-04-17","spotify:track:17bBNcLyMBDayQskHJX29T"
0.542,0.000522,0.177,0.137,303200,"Home",0,"2009-07-14","spotify:track:6ZapsNk1ZpaebNXAIohP9R"
0.551,0.0315,0.119,0.379,231506,"Sweet Victory (As Heard on ""SpongeBob SquarePants"")",53,"2012-06-19","spotify:track:0zNdw7vzK7nVtMlNkjVRfb"
0.428,2.03e-05,0.124,0.523,218320,"Hammer To Fall - Remastered 2011",0,"1991-10-28","spotify:track:6so5hTwXfzsCTzmKoA04UV"
0.197,0.414,0.187,0.525,261386,"Smokin'",64,"1976","spotify:track:5u5qlnyVaewWugJIjzilIc"
0.167,0.87,0.103,0.0465,77786,"Erebor",34,"2012-01-01","spotify:track:6ewN0HYNFCI39zQtJhde3R"
0.536,1.08e-05,0.255,0.719,206266,"It Must Be Love",58,"1981-10-02","spotify:track:3q2gRjU2UdOYRDY1p4cNHr"
0.449,8.75e-05,0.0833,0.212,278719,"Paradise",82,"2011-10-24","spotify:track:6nek1Nin9q48AVZcWs9e9D"
0.73,0.01,0.0852,0.731,226653,"Everywhere - Remastered",0,"1987-04-13","spotify:track:0U6Ga0VWSGq6iEE1AKkgO1"
0.724,0.00667,0.244,0.47,355386,"Deep Of The Night (Live Version)",25,"2017-06-08","spotify:track:6E4DUrkmndVeoxFbqu5bRA"
0.511,0.0261,0.0624,0.958,293960,"Saturday Night's Alright (For Fighting)",0,"2007-03-26","spotify:track:3ai4KT1bMfj6ToKa00SeH7"
0.65,0.00274,0.215,0.757,215973,"Scatman (ski-ba-bop-ba-dop-bop)",71,"1995-06-01","spotify:track:623rRTKwGmgjH6sjE9uWLh"
0.694,0.0284,0.105,0.197,220625,"Sonnentanz (Sun Don’t Shine)",0,"2013-01-01","spotify:track:7G5FO7sFeC7Idwu9cXzVNl"
0.388,3.72e-06,0.248,0.477,303373,"Mr. Blue Sky",82,"1977","spotify:track:2RlgNHKcydI9sayD2Df2xp"
0.255,1.87e-05,0.188,0.546,197813,"Take Me Home, Country Roads - Rerecorded",6,"1997-06-17","spotify:track:2xYlyywNgefLCRDG8hlxZq"
0.72,0.00122,0.0982,0.973,126946,"Ocean Man",67,"1997-04-18","spotify:track:6M14BiCN00nOsba4JaYsHW"
0.677,1.12e-05,0.107,0.339,241368,"MoonQuest",44,"2014-03-07","spotify:track:2OtwJ5j8QvDBpvUNxnYrSE"
0.731,0.0248,0.334,0.933,348624,"Sultans Of Swing",1,"1978-10-07","spotify:track:3LTMnFa0hhwisyq6ILahyj"
0.682,2.04e-05,0.11,0.663,265750,"Englishman In New York",0,"2002-01-01","spotify:track:7bWKgK83QNd87DY3bjdP8n"
0.326,0.495,0.352,0.132,67066,"Fuga A Cavallo",45,"1967","spotify:track:1S1JlOrGDpkbVhWCsOjUIh"
0.468,0.000852,0.225,0.886,263333,"Ramble On - 1990 Remaster",72,"1969-10-22","spotify:track:3MODES4TNtygekLl146Dxd"
0.643,0.00664,0.151,0.609,140773,"Fortunate Son",2,"1969-11-02","spotify:track:3yI282DoIJyERd0vGukMoB"
0.564,0.000177,0.0536,0.251,251320,"Run Away With Me",46,"2015-09-25","spotify:track:1VKTdQTrcP0cMdySaCEj7F"
0.445,0,0.403,0.71,187880,"Wolf in Sheep's Clothing",69,"2014-10-14","spotify:track:55Fpeuuc2sbQiy74eA1gTt"
0.825,0,0.192,0.638,237600,"Dakterras",48,"2016-10-15","spotify:track:2aro3ouK4UZCDDD4sMUyVI"
0.362,0.00615,0.347,0.318,249146,"Breakthru - Remastered 2011",0,"2011-01-01","spotify:track:4yWfEHt0oBNObi2RpLLfhA"
0.62,0,0.0679,0.763,175746,"You Can't Hurry Love - 2016 Remaster",78,"1982-11-05","spotify:track:4YwbSZaYeYja8Umyt222Qf"
